timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1551114678664,297,HTTP Request,200,OK,Thread Group 1-1,text,true,,812382,155,1,1,https://www.trendyol.com/kadin+cuzdan--kartlik?qs=navigation,126,0,0
1551114678961,479,HTTP Request,200,OK,Thread Group 1-1,text,true,,649880,147,1,1,https://www.trendyol.com/kadin+semsiye?qs=navigation,339,0,0
1551114679440,549,HTTP Request,200,OK,Thread Group 1-1,text,true,,855339,150,1,1,https://www.trendyol.com/kadin+anahtarlik?qs=navigation,366,0,0
1551114679989,357,HTTP Request,200,OK,Thread Group 1-1,text,true,,1012700,144,1,1,https://www.trendyol.com/erkek+saat?qs=navigation,131,0,0
1551114680346,322,HTTP Request,200,OK,Thread Group 1-1,text,true,,852630,153,1,1,https://www.trendyol.com/erkek+gunes-gozlugu?qs=navigation,129,0,31
1551114680668,296,HTTP Request,200,OK,Thread Group 1-1,text,true,,812075,155,1,1,https://www.trendyol.com/erkek+cuzdan--kartlik?qs=navigation,106,0,0
1551114680965,539,HTTP Request,200,OK,Thread Group 1-1,text,true,,842645,160,1,1,https://www.trendyol.com/erkek+sapka--bere--eldiven?qs=navigation,353,0,0
1551114681504,673,HTTP Request,200,OK,Thread Group 1-1,text,true,,903760,145,1,1,https://www.trendyol.com/erkek+kemer?qs=navigation,487,0,0
1551114682177,473,HTTP Request,200,OK,Thread Group 1-1,text,true,,842779,153,1,1,https://www.trendyol.com/erkek+kravat-papyon?qs=navigation,300,0,0
1551114682650,635,HTTP Request,200,OK,Thread Group 1-1,text,true,,995940,144,1,1,https://www.trendyol.com/cocuk+saat?qs=navigation,423,0,30
1551114683285,481,HTTP Request,200,OK,Thread Group 1-1,text,true,,829871,153,1,1,https://www.trendyol.com/cocuk+gunes-gozlugu?qs=navigation,311,0,0
1551114683767,535,HTTP Request,200,OK,Thread Group 1-1,text,true,,843063,145,1,1,https://www.trendyol.com/cocuk+sapka?qs=navigation,362,0,0
1551114684302,616,HTTP Request,200,OK,Thread Group 1-1,text,true,,1108240,139,1,1,https://www.trendyol.com/kolye?qs=navigation,389,0,0
